tas,date, Country, ISO3, ISO2
24.8054,1901-1,KEN,,
25.5997,1901-2,KEN,,
25.9804,1901-3,KEN,,
25.3442,1901-4,KEN,,
24.3735,1901-5,KEN,,
23.3494,1901-6,KEN,,
22.7933,1901-7,KEN,,
23.1023,1901-8,KEN,,
23.8709,1901-9,KEN,,
24.7434,1901-10,KEN,,
24.4841,1901-11,KEN,,
24.4896,1901-12,KEN,,
24.7019,1902-1,KEN,,
25.4334,1902-2,KEN,,
25.8048,1902-3,KEN,,
25.0285,1902-4,KEN,,
23.9781,1902-5,KEN,,
23.451,1902-6,KEN,,
23.299,1902-7,KEN,,
23.644,1902-8,KEN,,
24.1793,1902-9,KEN,,
24.809,1902-10,KEN,,
24.5291,1902-11,KEN,,
24.477,1902-12,KEN,,
25.1427,1903-1,KEN,,
25.801,1903-2,KEN,,
26.1232,1903-3,KEN,,
25.5374,1903-4,KEN,,
24.3783,1903-5,KEN,,
23.4002,1903-6,KEN,,
23.0979,1903-7,KEN,,
23.1956,1903-8,KEN,,
23.8704,1903-9,KEN,,
24.7323,1903-10,KEN,,
24.2616,1903-11,KEN,,
24.3639,1903-12,KEN,,
24.5818,1904-1,KEN,,
25.6301,1904-2,KEN,,
25.9265,1904-3,KEN,,
25.4433,1904-4,KEN,,
24.4198,1904-5,KEN,,
23.5711,1904-6,KEN,,
22.7866,1904-7,KEN,,
23.1093,1904-8,KEN,,
23.8638,1904-9,KEN,,
24.7358,1904-10,KEN,,
24.4775,1904-11,KEN,,
24.4746,1904-12,KEN,,
24.801,1905-1,KEN,,
25.5723,1905-2,KEN,,
25.9619,1905-3,KEN,,
25.3339,1905-4,KEN,,
24.3623,1905-5,KEN,,
23.3552,1905-6,KEN,,
22.9755,1905-7,KEN,,
23.0964,1905-8,KEN,,
23.8704,1905-9,KEN,,
24.9323,1905-10,KEN,,
24.7,1905-11,KEN,,
24.6538,1905-12,KEN,,
24.6811,1906-1,KEN,,
25.8805,1906-2,KEN,,
25.9748,1906-3,KEN,,
25.3374,1906-4,KEN,,
24.6702,1906-5,KEN,,
23.7197,1906-6,KEN,,
22.9755,1906-7,KEN,,
23.3157,1906-8,KEN,,
24.0336,1906-9,KEN,,
24.7391,1906-10,KEN,,
24.2616,1906-11,KEN,,
23.9671,1906-12,KEN,,
24.4854,1907-1,KEN,,
25.7302,1907-2,KEN,,
26.1232,1907-3,KEN,,
25.4433,1907-4,KEN,,
24.5415,1907-5,KEN,,
23.5451,1907-6,KEN,,
22.9022,1907-7,KEN,,
23.0897,1907-8,KEN,,
23.8569,1907-9,KEN,,
24.6908,1907-10,KEN,,
24.3108,1907-11,KEN,,
23.8029,1907-12,KEN,,
24.7019,1908-1,KEN,,
25.3626,1908-2,KEN,,
26.2905,1908-3,KEN,,
25.6598,1908-4,KEN,,
25.0324,1908-5,KEN,,
23.6097,1908-6,KEN,,
22.9306,1908-7,KEN,,
23.0897,1908-8,KEN,,
24.2315,1908-9,KEN,,
25.5245,1908-10,KEN,,
24.113,1908-11,KEN,,
23.9903,1908-12,KEN,,
24.4076,1909-1,KEN,,
25.3394,1909-2,KEN,,
25.7324,1909-3,KEN,,
24.8763,1909-4,KEN,,
24.2231,1909-5,KEN,,
23.1586,1909-6,KEN,,
22.9755,1909-7,KEN,,
23.2897,1909-8,KEN,,
23.9119,1909-9,KEN,,
24.6908,1909-10,KEN,,
24.2876,1909-11,KEN,,
24.4906,1909-12,KEN,,
24.7309,1910-1,KEN,,
25.5818,1910-2,KEN,,
26.1225,1910-3,KEN,,
25.5632,1910-4,KEN,,
24.67,1910-5,KEN,,
23.5451,1910-6,KEN,,
23.2754,1910-7,KEN,,
23.3387,1910-8,KEN,,
23.8635,1910-9,KEN,,
24.732,1910-10,KEN,,
24.5288,1910-11,KEN,,
24.7258,1910-12,KEN,,
24.9212,1911-1,KEN,,
25.1871,1911-2,KEN,,
25.9693,1911-3,KEN,,
25.2378,1911-4,KEN,,
24.2248,1911-5,KEN,,
23.5942,1911-6,KEN,,
22.3485,1911-7,KEN,,
22.9346,1911-8,KEN,,
23.5621,1911-9,KEN,,
24.5277,1911-10,KEN,,
24.3515,1911-11,KEN,,
24.0933,1911-12,KEN,,
24.4584,1912-1,KEN,,
25.4286,1912-2,KEN,,
25.7286,1912-3,KEN,,
24.9999,1912-4,KEN,,
23.9543,1912-5,KEN,,
22.9673,1912-6,KEN,,
22.1023,1912-7,KEN,,
22.53,1912-8,KEN,,
23.2354,1912-9,KEN,,
24.4004,1912-10,KEN,,
24.4751,1912-11,KEN,,
23.8825,1912-12,KEN,,
24.3803,1913-1,KEN,,
25.1314,1913-2,KEN,,
25.5633,1913-3,KEN,,
25.0053,1913-4,KEN,,
24.218,1913-5,KEN,,
22.9622,1913-6,KEN,,
22.8028,1913-7,KEN,,
23.1102,1913-8,KEN,,
23.8774,1913-9,KEN,,
24.7281,1913-10,KEN,,
24.4341,1913-11,KEN,,
24.4435,1913-12,KEN,,
24.8339,1914-1,KEN,,
25.5818,1914-2,KEN,,
25.9745,1914-3,KEN,,
25.3113,1914-4,KEN,,
24.3516,1914-5,KEN,,
23.3698,1914-6,KEN,,
22.7879,1914-7,KEN,,
23.0964,1914-8,KEN,,
23.8637,1914-9,KEN,,
24.7366,1914-10,KEN,,
24.4841,1914-11,KEN,,
24.6309,1914-12,KEN,,
24.8162,1915-1,KEN,,
25.5983,1915-2,KEN,,
25.9099,1915-3,KEN,,
25.5139,1915-4,KEN,,
24.3066,1915-5,KEN,,
23.1754,1915-6,KEN,,
22.609,1915-7,KEN,,
22.9494,1915-8,KEN,,
23.7724,1915-9,KEN,,
24.6786,1915-10,KEN,,
24.5724,1915-11,KEN,,
24.2693,1915-12,KEN,,
24.5725,1916-1,KEN,,
25.755,1916-2,KEN,,
25.6699,1916-3,KEN,,
25.0754,1916-4,KEN,,
24.3762,1916-5,KEN,,
23.2554,1916-6,KEN,,
22.6032,1916-7,KEN,,
23.0861,1916-8,KEN,,
23.8458,1916-9,KEN,,
24.7243,1916-10,KEN,,
24.625,1916-11,KEN,,
24.4135,1916-12,KEN,,
24.856,1917-1,KEN,,
25.8152,1917-2,KEN,,
25.9319,1917-3,KEN,,
25.1201,1917-4,KEN,,
24.3705,1917-5,KEN,,
23.2554,1917-6,KEN,,
22.667,1917-7,KEN,,
22.9766,1917-8,KEN,,
23.762,1917-9,KEN,,
24.7201,1917-10,KEN,,
24.5877,1917-11,KEN,,
24.5907,1917-12,KEN,,
24.6404,1918-1,KEN,,
25.8353,1918-2,KEN,,
25.9382,1918-3,KEN,,
25.1487,1918-4,KEN,,
24.4216,1918-5,KEN,,
23.2888,1918-6,KEN,,
22.8162,1918-7,KEN,,
23.0931,1918-8,KEN,,
23.8721,1918-9,KEN,,
24.7391,1918-10,KEN,,
24.4808,1918-11,KEN,,
24.4838,1918-12,KEN,,
24.8469,1919-1,KEN,,
25.6108,1919-2,KEN,,
25.9745,1919-3,KEN,,
25.3003,1919-4,KEN,,
24.3715,1919-5,KEN,,
23.3519,1919-6,KEN,,
22.8001,1919-7,KEN,,
23.1255,1919-8,KEN,,
23.8835,1919-9,KEN,,
24.7501,1919-10,KEN,,
24.4751,1919-11,KEN,,
24.4754,1919-12,KEN,,
24.778,1920-1,KEN,,
25.536,1920-2,KEN,,
25.9198,1920-3,KEN,,
25.2983,1920-4,KEN,,
24.3485,1920-5,KEN,,
23.3415,1920-6,KEN,,
22.7926,1920-7,KEN,,
23.0862,1920-8,KEN,,
23.8578,1920-9,KEN,,
24.7185,1920-10,KEN,,
24.454,1920-11,KEN,,
24.4452,1920-12,KEN,,
24.7543,1921-1,KEN,,
25.5204,1921-2,KEN,,
25.8938,1921-3,KEN,,
25.3475,1921-4,KEN,,
24.363,1921-5,KEN,,
23.3622,1921-6,KEN,,
22.8028,1921-7,KEN,,
23.0861,1921-8,KEN,,
24.0987,1921-9,KEN,,
24.9483,1921-10,KEN,,
24.9853,1921-11,KEN,,
24.9995,1921-12,KEN,,
25.2469,1922-1,KEN,,
26.026,1922-2,KEN,,
26.4146,1922-3,KEN,,
25.5186,1922-4,KEN,,
24.6611,1922-5,KEN,,
23.7432,1922-6,KEN,,
22.6653,1922-7,KEN,,
23.0334,1922-8,KEN,,
24.035,1922-9,KEN,,
25.0323,1922-10,KEN,,
25.0784,1922-11,KEN,,
25.0502,1922-12,KEN,,
24.8477,1923-1,KEN,,
25.5613,1923-2,KEN,,
25.9748,1923-3,KEN,,
25.3212,1923-4,KEN,,
24.3485,1923-5,KEN,,
23.3516,1923-6,KEN,,
22.782,1923-7,KEN,,
23.0861,1923-8,KEN,,
23.8693,1923-9,KEN,,
24.7287,1923-10,KEN,,
24.4609,1923-11,KEN,,
24.4734,1923-12,KEN,,
25.0408,1924-1,KEN,,
26.0924,1924-2,KEN,,
26.3125,1924-3,KEN,,
25.6751,1924-4,KEN,,
24.7503,1924-5,KEN,,
